"","V1","V2"
"1",-23,-123
"2",-248,-284
"3",-431,-730
"4",-111,-308
"5",-246,-733
"6",-2,-56
"7",-617,-727
"8",-335,-775
"9",-493,-579
"10",-613,-625
"11",-352,-499
"12",-595,-675
"13",-253,-704
"14",-79,-516
"15",-414,-640
"16",-565,-671
"17",-391,-514
"18",-11,-192
"19",-655,-739
"20",-333,-633
"21",-250,-371
"22",-488,-766
"23",-307,-665
"24",-85,-708
"25",-214,-475
"26",-125,-178
"27",-658,-773
"28",-343,-466
"29",-328,-577
"30",-115,-584
"31",-324,-520
"32",14,-162
"33",-291,-642
"34",-129,-697
"35",-373,-533
"36",-114,9
"37",-62,-134
"38",-523,-728
"39",-539,-686
"40",-39,-657
"41",-217,-778
"42",-31,-145
"43",-119,-476
"44",-505,-720
"45",-331,-771
"46",-558,-638
"47",-37,-585
"48",-109,-132
"49",-525,-623
"50",-262,-297
"51",-44,-231
"52",-20,-77
"53",-654,-722
"54",-104,-241
"55",-180,-212
"56",-113,-120
"57",-410,-630
"58",-332,-522
"59",-147,-567
"60",-267,-669
"61",-368,-608
"62",-183,-690
"63",-752,-780
"64",-473,-510
"65",3,-616
"66",1,-531
"67",-91,-97
"68",-36,-149
"69",16,-682
"70",-572,-599
"71",-388,-776
"72",-369,-607
"73",-100,-561
"74",-226,-700
"75",-268,-309
"76",40,-709
"77",-28,-96
"78",-382,-454
"79",8,-707
"80",-237,-346
"81",-338,-358
"82",25,-288
"83",-225,-782
"84",-342,-381
"85",-365,-754
"86",-693,-755
"87",-393,-772
"88",-203,-292
"89",-57,-70
"90",-359,-366
"91",-196,-208
"92",-216,-260
"93",-467,-492
"94",-527,-745
"95",-580,-667
"96",-199,-542
"97",-576,-627
"98",-159,-747
"99",-116,-760
"100",-596,-649
"101",-135,-726
"102",-437,-715
"103",-264,-723
"104",-340,-479
"105",-480,-659
"106",-374,-653
"107",-191,-213
"108",20,-569
"109",-544,-751
"110",-254,-299
"111",31,65
"112",-478,-701
"113",-379,-506
"114",-298,-483
"115",-72,-117
"116",-60,-534
"117",-228,-606
"118",-435,-477
"119",-285,-376
"120",-9,-167
"121",-433,-609
"122",-315,-320
"123",-64,-325
"124",-302,-370
"125",-559,-741
"126",-121,-635
"127",-270,-412
"128",-481,-611
"129",-530,-632
"130",-154,-759
"131",-21,-168
"132",-211,-748
"133",-249,-263
"134",-453,-663
"135",28,-673
"136",-158,-175
"137",-233,27
"138",-294,-380
"139",-277,-518
"140",-247,-287
"141",-30,-624
"142",-337,-430
"143",-99,-161
"144",-305,-428
"145",-636,-694
"146",-557,-615
"147",-130,-179
"148",-570,-702
"149",-1,-323
"150",-201,-404
"151",-106,-138
"152",-103,56
"153",-50,-78
