"","x"
"1",1
"2",323
"3",68
"4",495
"5",36
"6",149
"7",233
"8",658
"9",773
"10",83
"11",207
"12",116
"13",760
"14",354
"15",570
"16",702
"17",172
"18",282
"19",322
"20",364
"21",9
"22",167
"23",107
"24",22
"25",57
"26",70
"27",93
"28",194
"29",197
"30",53
"31",75
"32",181
"33",63
"34",210
"35",268
"36",309
"37",16
"38",188
"39",65
"40",34
"41",24
"42",171
"43",89
"44",29
"45",40
"46",148
"47",157
"48",154
"49",759
"50",274
"51",196
"52",208
"53",12
"54",307
"55",665
"56",54
"57",95
"58",81
"59",71
"60",92
"61",131
"62",447
"63",27
"64",612
"65",310
"66",286
"67",721
"68",735
"69",32
"70",276
"71",87
"72",537
"73",104
"74",241
"75",69
"76",342
"77",381
"78",13
"79",76
"80",295
"81",258
"82",526
"83",46
"84",84
"85",339
"86",59
"87",187
"88",152
"89",200
"90",17
"91",298
"92",483
"93",163
"94",177
"95",209
"96",203
"97",292
"98",300
"99",736
"100",275
"101",618
"102",166
"103",375
"104",689
"105",337
"106",430
"107",314
"108",696
"109",557
"110",615
"111",678
"112",576
"113",627
"114",137
"115",414
"116",640
"117",417
"118",695
"119",353
"120",698
"121",716
"122",225
"123",782
"124",396
"125",239
"126",458
"127",509
"128",758
"129",100
"130",561
"131",359
"132",366
"133",456
"134",692
"135",544
"136",751
"137",637
"138",636
"139",694
"140",530
"141",632
"142",650
"143",763
"144",128
"145",419
"146",566
"147",434
"148",779
"149",629
"150",105
"151",242
"152",211
"153",748
"154",679
"155",267
"156",669
"157",558
"158",638
"159",601
"160",719
"161",294
"162",380
"163",729
"164",21
"165",168
"166",634
"167",48
"168",147
"169",567
"170",613
"171",625
"172",102
"173",170
"174",125
"175",178
"176",183
"177",690
"178",126
"179",306
"180",39
"181",657
"182",709
"183",85
"184",708
"185",512
"186",644
"187",646
"188",165
"189",757
"190",204
"191",654
"192",722
"193",481
"194",611
"195",552
"196",503
"197",201
"198",404
"199",234
"200",513
"201",283
"202",490
"203",347
"204",360
"205",462
"206",221
"207",507
"208",335
"209",775
"210",707
"211",269
"212",731
"213",410
"214",630
"215",699
"216",277
"217",518
"218",693
"219",755
"220",451
"221",484
"222",677
"223",23
"224",123
"225",531
"226",190
"227",180
"228",212
"229",184
"230",174
"231",596
"232",649
"233",103
"234",113
"235",120
"236",110
"237",441
"238",127
"239",385
"240",140
"241",372
"242",769
"243",45
"244",111
"245",308
"246",448
"247",770
"248",333
"249",633
"250",569
"251",271
"252",363
"253",369
"254",607
"255",604
"256",62
"257",134
"258",553
"259",362
"260",365
"261",754
"262",617
"263",727
"264",651
"265",672
"266",4
"267",47
"268",312
"269",384
"270",551
"271",304
"272",426
"273",713
"274",351
"275",252
"276",746
"277",626
"278",329
"279",261
"280",332
"281",522
"282",450
"283",504
"284",399
"285",595
"286",675
"287",90
"288",589
"289",220
"290",598
"291",685
"292",256
"293",401
"294",459
"295",600
"296",445
"297",619
"298",185
"299",348
"300",400
"301",361
"302",393
"303",772
"304",643
"305",305
"306",428
"307",498
"308",480
"309",659
"310",238
"311",324
"312",520
"313",431
"314",730
"315",616
"316",5
"317",392
"318",37
"319",585
"320",446
"321",115
"322",584
"323",743
"324",457
"325",603
"326",186
"327",313
"328",191
"329",213
"330",7
"331",449
"332",340
"333",479
"334",52
"335",588
"336",150
"337",583
"338",639
"339",265
"340",273
"341",26
"342",621
"343",489
"344",501
"345",605
"346",511
"347",744
"348",548
"349",61
"350",783
"351",402
"352",549
"353",452
"354",67
"355",74
"356",160
"357",79
"358",516
"359",162
"360",343
"361",466
"362",673
"363",594
"364",135
"365",726
"366",737
"367",527
"368",745
"369",243
"370",575
"371",266
"372",468
"373",387
"374",250
"375",371
"376",367
"377",6
"378",668
"379",338
"380",358
"381",631
"382",91
"383",97
"384",368
"385",608
"386",442
"387",764
"388",31
"389",145
"390",424
"391",35
"392",60
"393",534
"394",547
"395",101
"396",423
"397",108
"398",597
"399",112
"400",749
"401",202
"402",687
"403",762
"404",341
"405",620
"406",571
"407",19
"408",143
"409",311
"410",564
"411",648
"412",219
"413",712
"414",336
"415",502
"416",461
"417",586
"418",706
"419",73
"420",136
"421",374
"422",653
"423",471
"424",253
"425",704
"426",655
"427",739
"428",437
"429",715
"430",222
"431",429
"432",272
"433",774
"434",278
"435",318
"436",485
"437",540
"438",562
"439",2
"440",56
"441",156
"442",66
"443",3
"444",206
"445",550
"446",232
"447",301
"448",315
"449",320
"450",421
"451",316
"452",703
"453",532
"454",25
"455",264
"456",723
"457",317
"458",515
"459",724
"460",33
"461",155
"462",247
"463",287
"464",464
"465",705
"466",49
"467",455
"468",114
"469",493
"470",579
"471",378
"472",524
"473",173
"474",321
"475",505
"476",720
"477",614
"478",761
"479",169
"480",573
"481",379
"482",506
"483",725
"484",411
"485",563
"486",474
"487",129
"488",697
"489",750
"490",217
"491",778
"492",395
"493",319
"494",610
"495",270
"496",412
"497",676
"498",216
"499",260
"500",742
"501",279
"502",517
"503",580
"504",667
"505",334
"506",641
"507",765
"508",51
"509",356
"510",497
"511",383
"512",229
"513",768
"514",88
"515",141
"516",781
"517",121
"518",635
"519",355
"520",541
"521",146
"522",215
"523",262
"524",297
"525",386
"526",330
"527",377
"528",391
"529",514
"530",656
"531",478
"532",701
"533",554
"534",590
"535",246
"536",733
"537",345
"538",443
"539",691
"540",280
"541",444
"542",409
"543",581
"544",158
"545",175
"546",388
"547",776
"548",467
"549",492
"550",494
"551",218
"552",453
"553",663
"554",228
"555",606
"556",767
"557",237
"558",346
"559",432
"560",565
"561",671
"562",682
"563",587
"564",224
"565",418
"566",543
"567",244
"568",473
"569",510
"570",660
"571",327
"572",536
"573",491
"574",538
"575",302
"576",370
"577",427
"578",556
"579",382
"580",454
"581",666
"582",525
"583",623
"584",572
"585",599
"586",281
"587",592
"588",560
"589",711
"590",469
"591",496
"592",521
"593",15
"594",58
"595",30
"596",624
"597",251
"598",662
"599",50
"600",78
"601",303
"602",182
"603",714
"604",578
"605",681
"606",18
"607",82
"608",227
"609",738
"610",235
"611",142
"612",144
"613",199
"614",542
"615",293
"616",296
"617",433
"618",609
"619",44
"620",231
"621",124
"622",555
"623",683
"624",198
"625",289
"626",130
"627",179
"628",64
"629",325
"630",189
"631",500
"632",740
"633",230
"634",463
"635",349
"636",8
"637",195
"638",86
"639",193
"640",133
"641",20
"642",77
"643",28
"644",96
"645",106
"646",138
"647",670
"648",470
"649",72
"650",117
"651",465
"652",249
"653",263
"654",568
"655",11
"656",192
"657",645
"658",99
"659",161
"660",664
"661",352
"662",499
"663",559
"664",741
"665",151
"666",176
"667",406
"668",647
"669",14
"670",153
"671",139
"672",752
"673",780
"674",214
"675",475
"676",288
"677",344
"678",43
"679",80
"680",652
"681",394
"682",718
"683",777
"684",582
"685",397
"686",574
"687",593
"688",119
"689",476
"690",408
"691",628
"692",223
"693",240
"694",546
"695",373
"696",533
"697",438
"698",622
"699",529
"700",98
"701",519
"702",290
"703",486
"704",122
"705",226
"706",700
"707",405
"708",422
"709",508
"710",118
"711",357
"712",732
"713",591
"714",236
"715",460
"716",326
"717",674
"718",164
"719",205
"720",472
"721",255
"722",439
"723",753
"724",285
"725",376
"726",291
"727",642
"728",398
"729",328
"730",577
"731",482
"732",688
"733",331
"734",771
"735",535
"736",425
"737",413
"738",602
"739",717
"740",523
"741",728
"742",257
"743",389
"744",403
"745",407
"746",10
"747",245
"748",42
"749",390
"750",545
"751",38
"752",41
"753",350
"754",734
"755",420
"756",109
"757",132
"758",259
"759",440
"760",415
"761",416
"762",661
"763",756
"764",55
"765",487
"766",488
"767",766
"768",528
"769",248
"770",284
"771",254
"772",299
"773",94
"774",539
"775",686
"776",159
"777",747
"778",436
"779",680
"780",435
"781",477
"782",684
"783",710
