"","x"
"1",1
"2",2
"3",2
"4",3
"5",3
"6",3
"7",3
"8",2
"9",1
"10",2
"11",2
"12",1
"13",1
"14",2
"15",2
"16",1
"17",1
"18",2
"19",3
"20",2
"21",1
"22",1
"23",1
"24",1
"25",2
"26",3
"27",1
"28",2
"29",1
"30",2
"31",3
"32",1
"33",2
"34",1
"35",3
"36",1
"37",3
"38",2
"39",1
"40",1
"41",2
"42",2
"43",2
"44",2
"45",1
"46",1
"47",3
"48",1
"49",2
"50",2
"51",2
"52",3
"53",1
"54",1
"55",2
"56",2
"57",1
"58",2
"59",1
"60",3
"61",3
"62",1
"63",1
"64",2
"65",1
"66",2
"67",3
"68",1
"69",1
"70",1
"71",1
"72",2
"73",3
"74",3
"75",1
"76",1
"77",2
"78",2
"79",3
"80",2
"81",1
"82",2
"83",1
"84",1
"85",1
"86",2
"87",1
"88",2
"89",1
"90",3
"91",3
"92",1
"93",1
"94",2
"95",1
"96",2
"97",3
"98",2
"99",2
"100",1
"101",3
"102",1
"103",1
"104",1
"105",1
"106",2
"107",1
"108",3
"109",2
"110",1
"111",1
"112",3
"113",1
"114",2
"115",3
"116",1
"117",2
"118",2
"119",2
"120",1
"121",2
"122",2
"123",1
"124",2
"125",1
"126",1
"127",1
"128",1
"129",2
"130",2
"131",1
"132",2
"133",2
"134",1
"135",3
"136",3
"137",1
"138",2
"139",2
"140",1
"141",2
"142",2
"143",3
"144",2
"145",3
"146",2
"147",1
"148",1
"149",1
"150",3
"151",2
"152",1
"153",2
"154",1
"155",2
"156",2
"157",1
"158",2
"159",2
"160",3
"161",2
"162",3
"163",1
"164",2
"165",1
"166",1
"167",1
"168",1
"169",2
"170",1
"171",1
"172",1
"173",2
"174",1
"175",2
"176",2
"177",1
"178",1
"179",2
"180",1
"181",1
"182",2
"183",1
"184",1
"185",3
"186",3
"187",1
"188",1
"189",2
"190",1
"191",3
"192",2
"193",2
"194",1
"195",2
"196",1
"197",1
"198",2
"199",2
"200",1
"201",1
"202",3
"203",1
"204",1
"205",2
"206",2
"207",1
"208",1
"209",1
"210",1
"211",1
"212",1
"213",3
"214",2
"215",2
"216",2
"217",2
"218",2
"219",3
"220",3
"221",1
"222",3
"223",2
"224",2
"225",1
"226",2
"227",2
"228",2
"229",2
"230",2
"231",2
"232",2
"233",1
"234",1
"235",2
"236",2
"237",2
"238",3
"239",1
"240",2
"241",1
"242",1
"243",3
"244",2
"245",2
"246",2
"247",2
"248",2
"249",2
"250",3
"251",2
"252",3
"253",3
"254",2
"255",2
"256",3
"257",2
"258",1
"259",2
"260",2
"261",3
"262",2
"263",2
"264",2
"265",3
"266",3
"267",1
"268",1
"269",1
"270",2
"271",1
"272",3
"273",3
"274",1
"275",1
"276",1
"277",1
"278",3
"279",2
"280",2
"281",2
"282",1
"283",1
"284",2
"285",2
"286",1
"287",2
"288",2
"289",2
"290",2
"291",2
"292",1
"293",2
"294",1
"295",1
"296",2
"297",2
"298",1
"299",2
"300",1
"301",2
"302",2
"303",2
"304",3
"305",3
"306",1
"307",1
"308",1
"309",1
"310",1
"311",3
"312",3
"313",3
"314",1
"315",2
"316",2
"317",2
"318",3
"319",2
"320",2
"321",2
"322",1
"323",1
"324",3
"325",2
"326",2
"327",2
"328",2
"329",3
"330",2
"331",2
"332",3
"333",1
"334",2
"335",1
"336",3
"337",1
"338",3
"339",1
"340",3
"341",3
"342",1
"343",3
"344",2
"345",2
"346",2
"347",1
"348",3
"349",2
"350",2
"351",3
"352",2
"353",1
"354",1
"355",2
"356",2
"357",2
"358",3
"359",1
"360",1
"361",3
"362",1
"363",1
"364",1
"365",1
"366",1
"367",3
"368",3
"369",1
"370",2
"371",3
"372",1
"373",2
"374",3
"375",1
"376",2
"377",2
"378",2
"379",2
"380",1
"381",1
"382",2
"383",2
"384",3
"385",1
"386",2
"387",3
"388",2
"389",2
"390",2
"391",2
"392",3
"393",3
"394",2
"395",2
"396",1
"397",2
"398",2
"399",3
"400",3
"401",3
"402",3
"403",2
"404",1
"405",2
"406",2
"407",2
"408",2
"409",2
"410",1
"411",2
"412",2
"413",2
"414",1
"415",2
"416",2
"417",1
"418",2
"419",1
"420",2
"421",2
"422",2
"423",3
"424",3
"425",2
"426",3
"427",2
"428",3
"429",3
"430",1
"431",3
"432",2
"433",2
"434",1
"435",2
"436",2
"437",3
"438",2
"439",2
"440",2
"441",1
"442",3
"443",2
"444",2
"445",3
"446",3
"447",1
"448",1
"449",3
"450",3
"451",1
"452",3
